Forkortelse,Produkt,MBL [tonn],Massetetthet [kg/m],E-modul [N/m^2]
36 Sdan-8,36 mm Superdan 8-slått,23.00479776478206,0.6409999999999999,2000000000.0
40 Sdan-8,40 mm Superdan 8-slått,28.409293693565083,0.7909999999999999,2000000000.0
44 Sdan-8,44 mm Superdan 8-slått,33.90556408151612,0.977,2000000000.0
45 Sdan-8,45 mm Superdan 8-slått,35.41474407672345,1.02,2000000000.0
48 Sdan-8,48 mm Superdan 8-slått,39.80972095465832,1.145,2000000000.0
50 Sdan-8,50 mm Superdan 8-slått,42.51196891904983,1.245,2000000000.0
52 Sdan-8,52 mm Superdan 8-slått,46.00959552956412,1.34,2000000000.0
55 Sdan-8,55 mm Superdan 8-slått,50.91443051398796,1.505,2000000000.0
56 Sdan-8,56 mm Superdan 8-slått,52.821299832256685,1.56,2000000000.0
60 Sdan-8,60 mm Superdan 8-slått,60.520157240240046,1.79,2000000000.0
64 Sdan-8,64 mm Superdan 8-slått,68.2190146482234,2.036,2000000000.0
65 Sdan-8,65 mm Superdan 8-slått,70.42160166825573,2.1,2000000000.0
68 Sdan-8,68 mm Superdan 8-slått,77.6207981318799,2.3,2000000000.0
70 Sdan-8,70 mm Superdan 8-slått,82.22991541454013,2.435,2000000000.0
72 Sdan-8,72 mm Superdan 8-slått,85.82951364635223,2.58,2000000000.0
75 Sdan-8,75 mm Superdan 8-slått,93.1306817312742,2.795,2000000000.0
80 Sdan-8,80 mm Superdan 8-slått,105.6324025023836,3.19,2000000000.0
85 Sdan-8,85 mm Superdan 8-slått,118.83772746044777,3.605,2000000000.0
88 Sdan-8,88 mm Superdan 8-slått,127.63787837844728,3.86,2000000000.0
90 Sdan-8,90 mm Superdan 8-slått,133.4400636302917,4.035,2000000000.0
95 Sdan-8,95 mm Superdan 8-slått,146.54341696705808,4.495,2000000000.0
96 Sdan-8,96 mm Superdan 8-slått,149.64335425451097,4.59,2000000000.0
100 STec-8,100 mm SuperTec 8-slått,199.76240612237615,4.98,2000000000.0
104 STec-8,104 mm SuperTec 8-slått,216.06766836789322,5.36,2000000000.0
112 STec-8,112 mm SuperTec 8-slått,250.5748650150663,6.23,2000000000.0
120 STec-8,120 mm SuperTec 8-slått,287.6925351674629,7.18,2000000000.0
24 STec-8,24 mm SuperTec 8-slått,13.399071038529977,0.288,2000000000.0
28 STec-8,28 mm SuperTec 8-slått,17.80424507859463,0.394,2000000000.0
32 STec-8,32 mm SuperTec 8-slått,22.70908006301846,0.511,2000000000.0
36 STec-8,36 mm SuperTec 8-slått,28.30732207226729,0.641,2000000000.0
